Tolomeo Valentini
Icilio De Cristofaro
Eusebio Pavani
Costantino Toti
Alcino Marega
Ambrosiano Medici
Domenico Riparbelli
Isacco Rosset
Apollinare Gambino
Vulmaro Perra
Raniero Lattanzi
Gherardo Menconi
Acacio Blasi
Venusto Tartamella
Remondo Di Donato
Sesto Fonda
Ursino De Carlo
Barsimeo Celeste
Tullio Polverino
Davide Coletta
Girardo Lodi
Vidone Femina
Melezio Fior
Athos Marras
Abenzio Signorile
Verulo Savini
Adalberto Carloni
Remondo Leonetti
Giorgio Marchi
Berardo Carloni
Archippo Salerno
Virginio Trevisan
Camillo Farina
Alfredo Doronzo
Polidoro Caporaso
Cecilio Miceli
Rino Moretto
Amore Tuccillo
Frido Drago
Gianluigi Cannata
Cristiano Parodi
Bonaldo Di Donato
Vidone Prisco
Antonello Zuliani
Marcello Greppi
Tulliano Brizzi
Marciano Lo Pinto
Quintiliano Cicchetti
Olindo Guido
Tulliano Parente
Romualdo Campoli
Orlando Abate
Alessandro Oliveri
Famiano Donda
Tiburzio Pirone
Serafino Lori
Tammaro Torre
Letterio Fiorillo
Gaudino Signorini
Mauro Di Sarno
Gaspare Pariggiano
Pauside Croce
Niceto Sabia
Gilberto Mazzini
Romero Casini
Gregorio Carollo
Vitale Litterio
Aciscolo Del Bianco
Saul Marciano
Ido Garavaglia
Alano Palmieri
Dagoberto Tiano
Raffaele Sammartino
Sabazio Fabrizio
Argo La Malfa
Ermilo Laezza
Cornelio Lucchesi
Giulio Cerutti
Liberto Rinaldi
Ulstano Damico
Quarto Palmisani
Emmerico Franceschini
Ponzio Epifani
Valerico Varriale
Antioco Brizzi
Gioberto Balistreri
Mennone Siciliano
Frido Polese
Carmelo Muratore
Valente Memoli
Gabino Fuoco
Archimede Piccinini
Quinziano Crisafulli
Apollinare Passarelli
Vidiano Tilotta
Niniano Amendola
Damocle Siri
Giona Ledda
Porfirio Tanzi
Odidone Aquino
Cecilio Pozzi
Teodoro Migliaccio
Caronte Romaniello
Procopio Longhi
Eusebio Anselmi
Orso Rea
Edoardo Montagna
Quintiliano Pasquali
Spartaco Zumbo
Semplicio Gigliotti
Giulio Guastella
Afro D'Avino
Diogene Di Liberto
Delfino Piccolo
Narciso Crispino
Settimio Giovannelli
Neoterio Vascotto
Sempronio Di Paola
Gerolamo Franchi
Abenzio Dragone
Venustiano Vizziello
Pollione Mignogna
Leonida Loddo
Pauside De Giorgi
Gomberto Manzella
Speranzio Luciani
Ruperto Pardini
Endrigo Nesti
Walter Nicotra
Eginardo Puddu
Manuele Miceli
Ermilo Acquaviva
Giacinto Ventimiglia
Ercole D'Incà
Crispino Crespi
Bindo Barone
Bernardo Luchetti
Casimiro De Filippo
Edilberto Pisu
Tobia Luise
Speranzio Capasso
Luca Masiero
Ortensio Cascio
Torquato Marciano
Piergiorgio Bertaccini
Pauside Lupo
Renato Pizzitola
Tiziano Rosselli
Gianluca Bonelli
Ermanno Zaccaria
Pollione Capelli
Alcide De Col
Tulliano Riggio
Rolando De Rosa
Servidio Sammartino
Tulliano Masiero
Guerrino Degano
Landolfo Montalto
Colombo Di Michele
Carlo Rodigari
Stiliano La Monaca
Cino Degrassi
Sempronio Serafino
Platone Pagliai
Fernando Morri
Orfeo Babini
Rubiano Soldati
Canziano Valletta
Oronzo De Maio
Benito Rambaldi
Nicolò La Rosa
Liberto Perrotta
Tancredi Nicoletti
Davino Rea
Gondulfo Triolo
Almiro Napoletano
Geminiano Pavan
Damiano Perilli
Attilio Giusti
Elita Zingaretti
Ampelio Iaria
Guiberto Gamper
Davino Tassi
Alvaro Venturi
Demostene Tacconi
Ubaldo Carrus
Pantaleone Perini
Cecilio Patrone
Rodrigo Olivi
Nunzio Calabrò
Iorio Ceccarini
Adelardo Ferilli
Martino Lonardi
Salomone Barbarossa
Quirino Muratore
Giosuele Giampaolo
Landolfo Carollo
Astianatte Costantin
Berengario Acquaviva
Platone Ragusa
Barnaba Schillaci
Taide Carloni
Severiano Montanari
Valentino Lavecchia
Alessandro Perra
Aristo Romagnoli
Claudio Alivernini
Cirino Testa
Siriano Marra
Aristide Schettino
Ausilio Ferrara
Zena De Gregorio
Antelmo Ruggiero
Desiderio Longo
Neri Marziali
Sergio Di Stefano
Leonio Benigni
Perseo Rizzo
Panfilo Falzone
Quintilio Orlandi
Verulo Di Lascio
Ursino Montagner
Barbarigo Colantuono
Egisto Paradiso
Teogene Cherubini
Elvezio Cuzzocrea
Varo Grieco
Liberato Galli
Vindonio Zucca
Monaldo Santarsiero
Atanasio Bedini
Simeone Tommasi
Senofonte Ferrarini
Ottone Terenzi
Amato Bentivoglio
Cherubino Leggio
Balderico Di Carlo
Ortensio Paladini
Ireneo Puccio
Ferdinando Mangione
Araldo Cacciatore
Ulisse Cottone
Eliodoro Elia
Ferdinando D'Incà
Sempronio Mangione
Noè Cioffi
Ermes Capraro
Gervasio Calabrò
Berengario Paone
Prospero Suriano
Polidoro Guerrieri
Agenore Nicosia
Cirillo Zanon
Nicodemo Giannini
Erminio Marian
Venceslao Polidori
Divo Siracusa
Ildebrando Perin
Gineto Fucci
Ulstano Polidori
Gualberto Messina
Narsete Valente
Angelo Cesaretti
Alvaro Cifarelli
Peleo Taormina
Rainaldo Caruso
Dionigi Giansante
Baldo Mautone
Alberico Montagner
Orso Barberis
Richelmo Di Martino
Alcibiade Zordan
Ulstano Marziali
Adamo Laezza
Aimone Cozzolino
Manilio Silvestro
Illidio Valli
Platone Cannone
Adelardo Chessari
Bartolo Tallarico
Efisio Schettino
Niniano Palazzo
Ulderico Iezzi
Carmine Avallone
Adelgardo Curreli
Alessandro La Barbera
Romoaldo Ventura
Barnaba Renna
Basileo Fabrizio
Ismaele Antonucci
Cornelio Lonardi
Aratone Fuoco
Ido Trapani
Maurizio Trombetta
Tancredi Coppola
Edmondo Di Marino
Adriano Brunelli
Pasquale Traini
Divo Giacalone
Ildebrando Borgia
Gaudino Spanu
Alceste Piccolo
Eligio Giovannini
Manuele Liccardo
Tizio Ruggeri
Casimiro Perrini
Abenzio Toti
Prisco Tumino
Baldassarre Ottaviani
Ivone Bongiorno
Remondo Amabile
Ippocrate Rosset
Asterio Caiazza
Cristaldo Avola
Moreno Ianni
Euseo Ottaviano
Vulmaro Feliziani
Asimodeo Torre
Diego De Carlo
Mirko Astolfi
Ruperto Carraro
Gualberto Olla
Amauri Faraone
Albano Solinas
Innocente Campagna
Achille Corradini
Dagoberto Anselmo
Manetto Sacchet
Iginio La Barbera
Zaccheo Deriu
Saverio Paci
Ezechiele Bentivoglio
Gesualdo Rogolino
Felice Barillà
Sansone Barreca
Ulrico Montefusco
Taziano Napoletano
Milo Di Somma
Senofonte Scaglione
Iginio Schirru
Quinzio Sestito
Severiano Carboni
Bastiano Capitani
Ernesto Signorelli
Eustosio Di Gregorio
Valerio Fabbri
Iacopone Tofani
Fulberto Prato
Gabriele Feleppa
Alfonso Falzone
Galileo Signorini
Zena Schettino
Cristoforo Gruppuso
Verecondo Curci
Bartolomeo Zago
Concetto Lo Giudice
Uriele Pizzo
Velio Brigandì
Afro Zaccaro
Radolfo Altieri
Isaia Bacci
Gianni Leonetti
Ismaele Ancona
Fabiano Picariello
Genesio Castellano
Tosco Caporaso
Meneo Correale
Giacinto Riggio
Ignazio Marangon
Guglielmo Baroni
Paciano Inzerillo
Regolo Falcioni
Cosimo Virgilio
Rubiano Di Rocco
Cataldo Tammaro
Erardo Garavaglia
Apuleio Cellini
Bellino Bortolin
Loreno Cianci
Ugo Simoni
Durante Iacono
Beato Andrisani
Erberto Candido
Taide Carnevale
Ercolano Di Ciocco
Floriano Bergamasco
Michele Lovato
Ivanoe Triolo
Damocle Salierno
Zenone Chimenti
Graziano Prete
Dionisio Biggi
Evidio Casale
Dacio Niccolai
Sigfrido Di Rocco
Chiaffredo Landi
Giobbe Leale
Aresio Colucci
Cristaldo Turchi
Noè Usai
Fosco Casella
Pierluigi Vascotto
Damocle Giraudo
Mosè Bonetti
Valtena Vierin
Coriolano Luzzi
Livino Bianchi
Polifemo Pardini
Sigismondo Bini
Parmenio Vecchi
Turibio Nicoletti
Ugolino Mencarelli
Adamo Spano
Pantaleone Leo
Ettore Scarpa
Siricio Mazzi
Benedetto Sorce
Cino Mastrogiacomo
Fortunato Solinas
Emmerico Paola
Ranolfo Benvenuti
Cecco Camilli
Donato Polito
Ecclesio Minniti
Domiziano Contini
Tiberio Benvenuto
Bino Sergi
Fabrizio Amico
Pierangelo Lepore
Amato Bovolenta
Ansaldo Panetta
Augusto Di Donato
Baldovino Procopio
Felice Floris
Radolfo Foschi
Monaldo Accardi
Fazio Renda
Graziano Fabbri
Davino Perra
Battista Maffei
Rosario La Manna
Amerigo Cioffi
Agesilao Moroni
Aris Lepore
Ugo Chessa
Deodato Verde
Sabato Zagaria
Galdino Pianigiani
Durante Bortoluzzi
Aniello Di Lorenzo
Sireno Felici
Laurentino Scognamiglio
Cremenzio Bonifazi
Baldovino Sarti
Empirio Violi
Ecclesio Tomasello
Adelardo Triolo
Mattia Quinto
Tranquillo Del Vecchio
Regolo Grossi
Massimo Manicone
Dalmazio Cipolla
Virgilio Guarneri
Amerigo Mazzaro
Dagoberto De Filippis
Crescente Gigli
Nestore Lenzi
Giosuè Mastronardi
Gherardo Biagini
Tarcisio Piras
Robaldo Barile
Melchiade La Monaca
Ticone Liverani
Cristiano D'Andrea
Vezio Cottone
Nicola Ceccarini
Isacco Frezza
Giobbe Guarnieri
Ovidio Mauri
Benedetto De Giorgio
Nicarete Sapienza
Evaristo Dionisi
Manuele Ricci
Fabiano Iorio
Dante Picco
Climaco Siragusa
Ardito Caporaso
Eufronio Del Prete
Zena Critelli
Ubertino Di Felice
Martino Carlucci
Giancarlo D'Alessio
Bonaventura Cremonesi
Matteo De Falco
Arcadio Sorrentino
Rino Bulgarelli
Cirino Antonini
Teobaldo Cinelli
Glauco Rallo
Generoso Pugliese
Bartolo Landi
Ivone Piccione
Paterniano Babini
Nico Simonini
Abenzio Santini
Verano Gallo
Pippo Dragone
Ulisse Principato
Alighiero Giardini
Orso Genovese
Eustorgio Allegretti
Teodoro Pasqua
Prudenzio Verde
Enecone D'Andrea
Boris De Col
Bacco Giordano
Azeglio Lonardi
Serapione Zullo
Parmenio Pintus
Rosario Fontana
Pio Mastrogiacomo
Ippolito Villani
Gaglioffo Salzano
Bonavita Indelicato
Saul Giacalone
Aristione Sacchi
Evaldo Sucameli
Amato Loreti
Rolfo Schifano
Vitalico Bertani
Aristeo Doro
Giordano Pappalardo
Serviliano Ferrigno
Giulio Molteni
Nazzareno Petrone
Fabio Valentini
Gillo Ingrosso
Gaudenzio Coppola
Adolfo Canova
Plutarco Buongiorno
Bonaldo Zanatta
Manilio Zani
Ugo Antonini
Baldovino Adragna
Omero Consiglio
Verecondo Finotti
Adelchi Feleppa
Viliberto Cherubini
Eterie Leggio
Vidiano Platania
Simeone Di Luca
Gianuario Di Battista
Eusebio Pappalardo
Elvino Di Paola
Girardo Venezia
Panfilo Ciulla
Valfrido Alfieri
Amaranto Fasoli
Alarico Hofer
Pollione Francesca
Venustiano Papapietro
Macario Dutto
Romero Teresi
Vodingo Carminati
Gionata Favaro
Ponzio Staffieri
Giosuè Fucci
Settimo Ferretti
Fidenzio Marani
Donatello Lo Pinto
Abramio Floris
Radolfo Pedrazzini
Gennaro Pillitteri
Barsimeo Mauri
Germano Sammartano
Eriberto Castellana
Agamennone Gennaro
Onofrio Bartolucci
Agazio De Vito
Luigi Grillo
Bardo Mariano
Acilio Buonomo
Eufemio Caserta
Quintilio Romanelli
Ermenegildo Lelli
Ampelio Desogus
Endrigo Pisu
Immacolato Giuffrida
Agapito Ferranti
Raide Caruso
Ricario Di Palma
Giocondo Caiazza
Lauriano Pappalardo
Venusto Fiorelli
Gaio Doronzo
Endrigo Melandri
Aristo Di Santo
Barnaba Oliva
Aimone Montanari
Fermiano Leoncini
Quarto Salvadori
Geremia Distefano
Gomberto Parrino
Maffeo Tanzi
Uranio Guastone
Teobaldo Bosco
Aristarco Mattei
Garimberto De Santis
Sandro Cerrato
Sante Nocentini
Camillo Villa
Berengario Pizzi
Acrisio Memoli
Rutilo Cozzi
Bellino Maffei
Araldo Palombi
Tiziano Urbano
Aldo Visconti
Odidone Oliviero
Guelfo Valletta
Melchiorre Castellani
Iago Gatto
Adalrico Zappalà
Edilberto Moras
Rosario Bacci
Argimiro Surace
Ischirione Carbone
Filomeno Varriale
Odidone Barsotti
Ulpiano Adragna
Fosco Luchini
Aquilino Magnani
Colmanno Pianigiani
Bonagiunta Mastronardi
Porziano Ferraro
Romero Flore
Adelgardo Francesca
Edmondo Zucca
Postumio Bernardi
Simeone Rampazzo
Filippo Barbagallo
Golia Ligorio
Agazio Spiga
Menardo Scanu
Gioele Vercesi
Liborio Zampieri
Zoilo Valenza
Giasone Fonti
Amanzio Graziano
Fulberto Rizzi
Vidone Cucchiara
Gerardo Patriarca
Rodiano Palombi
Dagoberto Alessandrini
Raimondo Scalia
Graziano Burgio
Davide Fancello
Pietro Spagnuolo
Eliano Tomei
Enecone Fonda
Zabedeo Marinucci
Ottavio D'Ippolito
Alcide Gennaro
Sabazio Gabrielli
Secondo Ferracuti
Guido Barbarulo
Manlio Cappiello
Mirko Villa
Apuleio Maugeri
Umile Cola
Igor Maltese
Adalardo Molteni
Cassio Gandolfo
Severino Di Martino
Ottaviano Colonna
Ippolito Litterio
Teodosio Melis
Liberatore Cherchi
Diocleziano Masi
Leopoldo Benini
Accursio Piazzolla
Siricio Santoro
Porfirio Frasca
Sabato Barile
Leone Napoli
Arrigo Vizziello
Mirko Visentin
Attilio Nanni
Narseo Asaro
Arnaldo Cottone
Asdrubale Bellomo
Fabiano Mengoni
Magno Santilli
Fulberto Loddo
Surano Campus
Bino Marcucci
Barsaba Colombo
Flavio Battisti
Teodoro Genchi
Varo La Rosa
Fleano Lo Cascio
Settimo Carraro
Generoso Maffei
Alessandro Calligaris
Gustavo Lucchese
Aldo Bonanno
Calcedonio Fiorentino
Galileo De Filippis
Barnaba Farina
Gomberto Braia
Sirio Ricciardi
Elpidio Curci
Severiano Dionisi
Delfino Meli
Ulfo Maggi
Calogero Buongiorno
Birino Buzzi
Cosimo Caruso
Tarcisio Barsotti
Geronzio Nobili
Alberto Cola
Abramo Pirrone
Metello Mazzoleno
Gaglioffo Tarquini
Tiziano Lugli
Arduino Margiotta
Ruperto Bosi
Quintiliano Bellini
Girolamo Caricari
Concordio Ricciardi
Rodiano Pascarella
Endrigo Marangoni
Tranquillo Sarnataro
Fabio Palazzi
Ismaele Morello
Azelio Giuliani
Basileo Cianci
Aniello Federico
Elpidio Pacifico
Giambattista Carrieri
Ursmaro Favero
Ranolfo Giordani
Evaristo Mecca
Amleto Serpa
Ido Pizzo
Remo D'Elia
Baldo Caruso
Delfino Fasoli
Rinaldo Cicala
Auberto Barbiero
Cristaldo Coniglio
Amedeo Sebastiani
Arturo Longo
Aristotele Lelli
Clodoveo Tretola
Atanasio Pipitone
Monitore Tarantino
Ansaldo Tiano
Nestore Bisio
Sabino Principato
Gualberto Siri
Amauri Santarossa
Socrate Palma
Michele Di Liberto
Annibale Valenti
Pacifico Catania
Saffiro Blanc
Aquilino Parise
Egeo Martucci
Vulmaro Di Pede
Illuminato Cardinale
Mariano Pece
Vulpiano Picchi
Polifemo Guerriero
Emmerico Ferrario
Athos D'Anna
Telchide Mattei
Alcide Di Donato
Bonaventura Giansante
Matteo Brogi
Serapione Pecora
Dalmazio Criscione
Narseo Vascotto
Daniele Cattani
Indro Pibiri
Raniero Mattia
Daciano Mazzotta
Medardo Cavaliere
Sinesio Pascali
Dagoberto Antonelli
Narciso Marras
Isacco Murru
Marco Bellini
Palladio Crisafulli
Sinesio Pircher
Giulio Perrone
Emidio Fasoli
Bacco Ponti
Ansovino Rocco
Cremenzio Pantano
Nestore Quaglia
Berengario Vianello
Lauriano Lanteri
Ovidio Milazzo
Stiriaco Sabatino
Nicea D'Agostino
Mirocleto Oliviero
Geremia Petrella
Isaia Bozzi
Lodovico Passero
Ildefonso Simeoni
Tosco Cavallini
Adrione Sorbello
Emidio Masi
Samuele Panico
Simeone Ottonello
Amanzio Barberis
Pupolo Piccinini
Fidenziano Ranucci
Ponziano Carli
Ursicio Sarti
Umberto Pompili
Aladino D'Angelo
Glauco Minniti
Palatino Fontana
Raimondo Molinari
Tazio Salemi
Furio Spagnolo
Gianpietro Molinaro
Garimberto Castiglioni
Abele Fantozzi
Malco Signorile
Ambrosiano Brogi
Filiberto Luppino
Lancilotto Caputo
Marco Mastrogiacomo
Zoilo Carollo
Cuniberto Perrone
Golia Loi
Gautiero Rizzi
Pancrazio Stella
Eraclide Salis
Iorio Sardella
Acario De Maio
Medardo Cerrato
Rodiano Marchetti
Aquilino Iaria
Camillo Sebastiani
Vodingo Valentino
Adalrico Sapienza
Giasone Lentini
Caino Nicoletti
Amando Torre
Germano Ciotola
Teogene Terenzi
Gonerio Provenzano
Verecondo Cicchetti
Cesare Russo
Desiderio Privitera
Savino Serena
Dante Parrino
Giosuele Mastroianni
Urbano Moro
Algiso Comito
Giovanni Lecca
Timoteo Melandri
Eleuterio Bindi
Dario Cardini
Santo Martini
Ambrosiano Toldo
Amos Petrini
Giove Mengoni
Ansaldo Tallarico
Teodosio Dodaro
Furseo De Meo
Frido Silvestri
Giasone Tanzi
Gillo Angeletti
Tiburzio Musella
Livio Di Marino
Alboino Casavecchia
Sidonio Deriu
Milo Cicala
Bertoldo Alberti
Baldassarre Gagliardi
Valter De Masi
Mennone Biancheri
Ortensio Chiaravalle
Onesto Cianci
Ernesto Fantini
Samuele Palmeri
Ladislao Bartolini
Eliodoro Barbagallo
Teogene Forte
Verecondo Pibiri
Geronimo Mercuri
Gerolamo Taddei
Onorino Meo
Michelangelo Forte
Iorio Gigli
Stiliano Todaro
Alberto Marrone
Accursio Baroni
Ariele Rossetti
Eleuterio Rogolino
Menelao Gasser
Ivan Alivernini
Valerio Mori
Grimaldo Barberis
Agesilao Corradini
Piermarco De Rossi
Climaco Iorio
Carponio Mulas
Vitalico Cosentino
Gregorio Buzzi
Ursicio Gentile
Valente Cavallini
Salomone Ruggiero
Liberio Napoletano
Vedasto Manicone
Clodomiro Marangi
Carmelo Marcianò
Aniceto Usai
Ercole De Chiara
Basileo De Lucia
Famiano Biagini
Samuele Liccardo
Vittore Moro
Sicuro Sucera
Saffiro Bartolucci
Uranio Bertaccini
Evremondo Cusumano
Lamberto Pellegrino
Afro Matta
Endrigo Messana
Leone Cianci
Agenore Puccio
Valfredo Lori
Marciano Daniele
Zeno Vitale
Ausilio Vittori
Romeo Brunetti
Ciro Senatore
Ariberto Zito
Parmenio Marrazzo
Eugenio Mazzola
Senesio Giraudo
Ariosto Serafino
Garimberto Raimondi
Mercurio Mantovani
Nunzio Demurtas
Aristarco Scrofani
Silverio Loreto
Namazio Postiglione
Gianuario Sebastiani
Ursicio Carta
Valtena Durante
Angelo Amadori
Arcadio Fumagalli
Elifio Mattei
Ascanio Morrone
Tiburzio Cavallo
Minervino Puca
Gianmarco Tagliaferri
Postumio Sanfilippo
Luciano Meli
Cataldo Errera
Tesauro Fasoli
Manlio Milazzo
Maggiorino Padula
Gedeone Nappi
Maggiorino Aprile
Leone Simeoli
Cantidio Visentin
Agazio Paris
Gino Nocentini
Sebastiano Cozzani
Landolfo Lovato
Zosimo Caselli
Virginio Valletta
Dodato Baldini
Corrado Menegatti
Rodrigo Crisci
Galeazzo Huber
Efrem Cannone
Nazzaro Bortot
Sapiente Formica
Ansovino Rucco
Davino Micheletti
Umile Ciampa
Dacio Costa
Olimpio Beretta
Giosuè Vassallo
Asimodeo Molinaro
Silvio Rotundo
Cirano Fadda
Gosto Visentin
Achille Sassano
Tito Gargiulo
Apuleio Ferro
Bellino Carrieri
Uriele Vittori
Daniele Bergamini
Adalgiso Donati
Saffo Corridori
Gioele Micco
Polifemo Scala
Luca Macchia
Giandomenico Zambuto
Aureliano Malaspina
Melchiade Campanile
Geremia Carnovale
Siro Pisu
Ermanno Catanzaro
Libero Tarquini
Geminiano Farella
Privato Lugli
Gilberto De Cristofaro
Italo Patrone
Savino Di Lascio
Ambrogio Balistreri
Ambrosiano Doria
Amanzio Moffa
Paolo Campanini
Valfrido Pittalis
Gianfranco Giovannini
Diocleziano Ciavarella
Alceste Nanni
Afro Giorgetti
Valfredo Amato
Severiano Barra
Fiorenzo Lupo
Venerando Colella
Apollo Gentile
Valerio Marziali
Rufino De Rossi
Daciano Megna
Diodoro Riparbelli
Diodoro Potenza
Fuscolo Grilli
Evandro Doro
Serviliano Romanini
Socrate Frasca
Genesio Gruber
Nicezio Capasso
Tibaldo Postiglione
Abaco Proietti
Leandro Parise
Divo Martinelli
Melchiade Colucci
Acilio Franceschini
Ludano Visconti
Tirone Amabile
Urbano Mancuso
Zeno Quaglia
Landolfo Grassi
Asimodeo Crisci
Arnaldo Botta
Acilio Brandi
Gionata Coretti
Bruno Canino
Cleonico Graziano
Giuliano Mazza
Giacomo Celentano
Eleuterio Di Gaetano
Ataleo Guidotti
Vinfrido Acquaviva
Egeo Gatta
Evasio Postiglione
Gianni Miglio
Dino Piredda
Nestore Fava
Benito Fiorentino
Doroteo Oliveri
Settimio Benini
Vulpiano Di Liberto
Gilberto Cozzi
Democrito Carboni
Eterie Passuello
Dionigi Lipari
Amleto Gianni
Franco Schillaci
Gerardo Oliveri
Leone Librizzi
Iacopone Secchi
Salvo Branca
Azeglio Iezzi
Ariosto De Bonis
Gianluca Catanzaro
Aidano Manzo
Giacobbe Parise
Ivano De Cicco
Damaso Angeli
Ubaldo Paolicelli
Asdrubale Patanè
Cirano Giustra
Domenico Barillà
Giona Pellecchia
Ildebrando Doria
Bruno Pellitteri
Tibaldo Palumbo
Calogero Di Felice
Empirio Ciuffetelli
Annibale Cataldo
Mosè Pozzi
Isacco Marangoni
Antonio Benedetti
Anacleto Lecca
Bonagiunta Matranga
Ulderico Corradini
Colombano Cuomo
Saturnino Luchetti
Radolfo Monticelli
Crespignano Fucci
Medardo Falbo
Protasio Dalmasso
Evidio Rubino
Gonzaga Di Bella
Sostrato Megna
Aresio Iannone
Ismaele Davoli
Serapione Munaro
Gianpaolo La Porta
Evaristo Valentini
Dodato Cammisa
Vulpiano Casali
Aleardo Salzano
Vespasiano Marciano
Beato Pugliesi
Mariano Coccia
Landolfo Sacchetti
Surano Grandi
Aurelio Borgia
Gordiano Secchi
Eraclide D'Amore
Atanasio Lenzi
Bellino De Fazio
Sesto Bonanni
Enecone Zaccaro
Demetrio Cenni
Pantaleone Celentano
Mirco Guerrini
Afro Pugliese
Surano Viviani
Eginardo Vuillermoz
Oronzo Ruggieri
Niceforo Bosco
Nicezio Coslovich
Ecclesio Usai
Flaviano Lolli
Ermete Cusumano
Mariano Salemme
Pierluigi Fierro
Attilano Petrucci
Tussio Salerno
Iacopone Sabia
Ponzio Di Ciocco
Sergio Franchi
Turi Mereu
Indro Macchia
Egisto Ciacio
Gedeone Riccio
Plutarco Sammartino
Gillo Giardini
Quinziano Melillo
Ariosto Bruni
Valfredo Sestito
Lavinio Silvestrini
Saverio Forconi
Vindonio Cocco
Landolfo Ferri
Nazzareno Praticò
Fosco Maragno
Demetrio Galati
Leonio Pecorella
Amauri Patti
Damaso Ferilli
Ottavio Ciaccio
Melchiorre Piccoli
