Giuda Tallarico
Fedele Santarossa
Flaviano Rosa
Durante Perego
Geremia Cerullo
Domezio Marega
Oreste La Sala
Vulmaro Baraldi
Saladino D'Errico
Indro Mangano
Ernesto Pisciotta
Severiano Menegatti
Eberardo Di Dio
Archippo Librizzi
Golia Ricci
Proteo Germani
Gioberto Lippi
Germano Strano
Acacio Caccamo
Paride Carrus
Verenzio Foschi
Claudio Butera
Eleuterio Visconti
Indro Sabatino
Gioberto Picco
Guelfo Cattani
Erminio Agnello
Leandro Colombo
Nicezio Lorenzini
Parmenio Biagini
Adalgiso Fontana
Abele Zaccaria
Eustorgio Macchi
Nazzareno Giovannini
Barnaba Marconi
Icilio Ianni
Fermo Fornara
Davide Brunetti
Ermilo Lelli
Cleandro Senatore
Uriele Massaro
Alcide Liberati
Polidoro Giacomelli
Fiorenzo Ferrari
Alessio Bani
Amato Lana
Salvatore De Bonis
Napoleone Maiello
Adalgiso Lucarini
Ortensio Flore
Tarso Buongiorno
Benito Marcon
Olindo Lai
Zenebio Occhipinti
Sostrato Macchi
Clarenzio Cardone
Platone Santarsia
Empirio Monaco
Amadeo Cicala
Gioventino Manzella
Lapo Cola
Ermes Corradi
Stanislao Soro
Abbondio Liuzzi
Zanobi Lugli
Bonifacio Giampaolo
Virone Crippa
Gualtiero Acquistapace
Vespasiano Siri
Calcedonio Cuomo
Gaudino Caggiano
Aniello Desiderio
Secondiano Visentin
Ivano Calò
Aristofane Bonato
Gioberto Raimondi
Gianmaria Blanc
Daniele Laezza
Amilcare Fava
Guglielmo Mencarelli
Bacco Fioravanti
Salvatore La Sala
Cassio Vuillermoz
Evaldo Guerriero
Onorio Rigoni
Vodingo Toto
Patroclo Iannaccone
Gianpiero Spadoni
Sico Balestra
Acrisio Secci
Stiliano Di Ciocco
Romero Miccoli
Cecilio Grossi
Iacopo Secci
Bonito La Malfa
Ariberto Casavecchia
Letterio Mazzeo
Elvezio D'Agostino
Terzo Paolicelli
Cristaldo Vicini
Aniello Dragone
Archippo Fior
Adamo Distefano
Eterie Riparbelli
Davide Pignatelli
Abenzio Ciani
Cleonico Benvenuto
Tosco Mingarelli
Ausilio Zordan
Michelangelo Galluzzo
Amato Cacciapuoti
Gherardo Abate
Fabrizio Giudice
Martino Cancelliere
Ignazio Caselli
Cristaldo Macchia
Achille Marcello
Calanico Zennaro
Fidenziano D'Andrea
Aloisio Minniti
Gualtiero Todaro
Bacco Ferrando
Addo Lisi
Ruperto Scalia
Oscar Gamberini
Lazzaro Botta
Camillo Prete
Cleonico Taddei
Isidoro Tommasi
Emiliano Penna
Sebastiano Scala
Ursicio Laganà
Brancaleone Balistreri
Cino De Napoli
Colmanno Pecorella
Arialdo Bertolini
Bonagiunta Florio
Macario Vaccaro
Paride Scardino
Gioventino Grandi
Enzo Falbo
Ennio Meo
Gillo D'Amico
Evaristo Spada
Gualtiero Virgilio
Gianmario Sabatino
Sicuro Caracciolo
Semplicio Perrini
Beronico Piazza
Quinzio Panico
Sante Marano
Adelgardo Marchesan
Edilberto Giorgi
Gilberto Piazza
Filippo Guerra
Piergiorgio Marchese
Viviano Borghi
Archippo Lecca
Antelmo Penzo
Crocefisso Riccardi
Dagoberto Marino
Rubiano Lovato
Melanio Candido
Adeodato Battistini
Colmanno Iotti
Amauri Bisconti
Euclide Canepa
Fabio Carlucci
Teogene Picchi
Alarico Costanza
Innocente De Bona
Modesto Alcamo
Soccorso Guarnieri
Sisto Gennaro
Illidio Ricciardi
Cirillo Magno
Ercole Ottaviani
Rodrigo Salamone
Gianpietro Caterino
Metrofane Di Matteo
Piero Calabrò
Amanzio Fois
Robaldo Tagliaferri
Richelmo Inzerillo
Gioventino Zagaria
Diogene Perilli
Niceforo Scarpellini
Viviano Campanella
Gregorio Massa
Sicuro Locci
Raffaele Moro
Respicio Rigoni
Giulio Balboni
Massimiliano Pisciotta
Agostino Palmisano
Arturo Zappalà
Agrippa Spadafora
Virone Campoli
Ponziano Giordani
Alano Piccoli
Quinziano Perini
Torquato Costantini
Raffaele Dell'Amico
Ariele Montalbano
Fleano Sacchi
Ildebrando Marsili
Tesauro Daniele
Bertolfo Marani
Alvise Errico
Ruperto Pica
Aniceto Rago
Antimo De Candido
Amleto Torchio
Evaldo De Napoli
Aratone Luongo
Asdrubale Lauri
Iacopo Torre
Gabino La Monaca
Odidone Aiello
Amintore Barbieri
Almerigo Prencipe
Danilo Maresca
Colmazio Pisciotta
Tussio Costanza
Beniamino Adragna
Aris Musso
Diogene Magnani
Serapione Tomaselli
Romoaldo Crescenzi
Divo Antonucci
Bruno Gori
Virginio Tammaro
Crescente Pedone
Sempronio Bertelli
Dodato Tedde
Pacifico Capriotti
Raimondo Ricciardi
Pierluigi Garofalo
Ariberto Renzi
Verano Biasci
Silvio Monteleone
Ennio Grimaldi
Ursicio Petrini
Auberto Bianchi
Olindo Grilli
Demetrio Ferraiuolo
Zena Spano
Tammaro Blanc
Ampelio Marzocchi
Celso Furlan
Nino Totaro
Vitale Cardella
Elpidio Carnevale
Saffiro Mecca
Saffo Filipponi
Enecone Zambon
Rufino Mazzotti
Ultimo Fichera
Neri Colella
Michele Granata
Asdrubale Filippini
Garimberto Palla
Alighiero Platania
Abaco Panza
Adolfo Passeri
Ferruccio Marelli
Taddeo Santori
Agostino Sarti
Eleuterio Raniolo
Ampelio Iannone
Manilio Caiazzo
Ugo Salvati
Bonito Faraone
Gioacchino De Carolis
Canziano Palazzolo
Genesio Tarquini
Algiso Fedele
Cesario Rosselli
Viscardo Alfieri
Raniero Branca
Macario Platania
Glauco Molinari
Albano Baldini
Romero De Napoli
Maiorico Miglio
Cino Longhi
Iginio Paonessa
Zenobio Iannello
Ivan Durante
Giocondo Ferracuti
Bartolo Pascarella
Attilio Celeste
Guiberto Bartolomei
Illidio Lazzari
Francesco De Luca
Leonio Fabiano
Brando Di Vita
Antero Vincenzi
Teobaldo Panetta
Galeazzo Tilotta
Albino Spadafora
Sarbello Sartor
Felice Floridia
Emilio Moretto
Pancario Spadoni
Gavino Toto
Alessandro Tedeschi
Amatore Giugliano
Eleuterio Raniolo
Agenore Visintin
Aureliano Carli
Ildefonso Izzo
Archimede Pibiri
Ulrico Delfino
Pasquale De Chiara
Sidonio Lana
Clemente Cappiello
Aidano Pini
Crispino Traverso
Tolomeo Paris
Boris Redaelli
Sabato Recchia
Ismaele De Santis
Ireneo Ceccarini
Ottavio Signorile
Agamennone Sabatino
Cesario Teresi
Abramio Pedrazzini
Antino Ierardi
Quinzio Luchetti
Elia Bellini
Evidio Zaccaro
Fiorenzo Crevatin
Manlio Buonomo
Maggiorino Magnani
Salomè Menna
Neoterio Spada
Damiano Basile
Sandro Macchia
Alcide Gruber
Saul Rucco
Tristano Luca
Coriolano De Rosa
Leopoldo Mauri
Bacco Macaluso
Gaspare Finotti
Giuliano Cimmino
Giovanni Verme
Calogero Cannata
Concetto Palmisano
Apollinare Mastrogiacomo
Nereo Sucameli
Eugenio Guida
Marino Garau
Telchide Cusumano
Gildo Puccio
Alberico Riva
Pippo Alberti
Illidio Martinelli
Dionisio Benedetti
Amico Biagini
Vindonio De Filippo
Gennaro Antonini
Mariano Matta
Antonello Salatiello
Crespignano Rocco
Sinfronio Paci
Asdrubale Di Iorio
Palatino Giansante
Cesario Bellini
Virone Fortugno
Amerigo Terzi
Erardo Avallone
Ubaldo Merlo
Aresio Bozzo
Postumio Di Maio
Ermete Vassallo
Venusto Festa
Illuminato Russo
Gaudino Casavecchia
Maurizio D'Ippolito
Marzio Colonna
Torquato Consiglio
Minervino Monaco
Giordano La Manna
Valerio Bresciani
Flaviano Menozzi
Ponziano Lotito
Gianmaria Balzano
Nazario Ortenzi
Danilo Spadaro
Nino Pascarella
Armando Pacifico
Calogero Turco
Enecone Colombo
Mansueto Ricci
Beronico Cenni
Rosario Signorelli
Endrigo Lamberti
Augusto Lucidi
Zosimo Genna
Telchide Adamo
Egidio Narciso
Arturo Bertolini
Gianpaolo Di Blasi
Milo Carlucci
Clodoveo Fontana
Monaldo Di Lascio
Bardo Girone
Zenebio Alfieri
Lapo Artioli
Antero Giorgi
Vindonio Calabrese
Cirano Colangelo
Amabile Polito
Melanio Biccari
Mauro Pession
Enecone Dell'Amico
Alvaro Forte
Caino Crippa
Nunzio Martina
Eufebio Contu
Barsimeo Sarnataro
Frido Sassano
Gioberto Iezzi
Cremenzio La Manna
Tirone Morelli
Valfrido Sala
Samuele Rapisarda
Verano Spada
Massimo Semprini
Tolomeo Gennaro
Rodrigo Casolaro
Zaccaria Bevilacqua
Nico Nieddu
Gandolfo Pasqua
Gaudenzio Zanelli
Postumio Prencipe
Aristide Festuccia
Eberardo Rosso
Filiberto Pagani
Zenaide Pizzitola
Omar Lodi
Michelangelo Bertelli
Dario Betti
Tarcisio Belli
Aurelio Pellicano
Olindo Sabia
Romoaldo Donati
Nestore Spagnolo
Amico Di Blasi
Gineto Ferrini
Ponziano Innocenti
Mansueto Riva
Vasco Falzone
Fleano Lo Giudice
Ulrico Morabito
Privato D'Angelo
Aresio Ancona
Romeo Pasini
Gordiano Pezzella
Ivano Pecora
Venerando Galasso
Coriolano D'Onofrio
Enrico Buzzi
Gesualdo Cassano
Agabio Marelli
Sireno La Porta
Vidone Piscopo
Turibio Lezzi
Eros Lucarelli
Fulgenzio Barbarulo
Zaccheo Pittalis
Natale Sasso
Iginio Carraro
Saul Trevisan
Eliseo Abbondanza
Venanzio Crepaldi
Fleano Lodi
Narseo Triolo
Prospero Saladino
Sergio Nocentini
Sarbello Palla
Zenone Buzzi
Fabrizio Boi
Bellino Pitzalis
Evaristo Re
Roberto Pollina
Armando Garifo
Federico Marzocchi
Gildo Corrado
Diodoro Casini
Elita Contini
Aleardo Greppi
Romoaldo Librizzi
Rutilo Sabatini
Porziano Filippi
Eusebio Campus
Pierluigi Muratore
Asdrubale Di Luca
Alessandro Lamacchia
Gioberto Damiano
Geremia Porcari
Siro Aramini
Barnaba Cesaretti
Furio Corso
Andrea Nota
Tullio Cardinale
Mariano Piacentini
Quintino Preziosi
Sinfronio Ferrante
Gerasimo Cossu
Eufronio Cinelli
Abbondanzio Maresca
Tirone Allegretti
Savino Lecca
Tussio Rizzi
Mennone Praticò
Dagoberto Bortolin
Noè D'Alessandro
Niceforo Raniolo
Diocleziano Pilato
Apollo Di Vita
Icaro Schillaci
Elia Tagliabue
Alberto Pili
Polidoro Bosco
Geronzio De Maria
Gandolfo Paoli
Alcibiade Riggio
Vedasto Biagini
Vittorio Santoni
Venceslao Santilli
Ermes Favero
Socrate Cioffi
Germano Romeo
Regolo De Chiara
Oderico Strano
Galeazzo Faraci
Tristano Graziano
Gervasio Luca
Clemente Melis
Adelfo Fantini
Eufebio De Lorenzo
Lancilotto Saponaro
Aristarco Bartolucci
Ivano Zappia
Empirio Sabatino
Crispino Di Santo
Platone Briano
Terenzio Menozzi
Domiziano Delogu
Stiriaco Federico
Almiro Perrotta
Cristiano Vella
Domiziano Fischetti
Ulisse Traverso
Deodato Bertolini
Adamo Panico
Alberico Giachi
Giustiniano Caforio
Michele Raimondo
Zena Doronzo
Porziano Pollina
Carmelo Giusti
Gentile Ferluga
Loreno Zuliani
Augusto Cortesi
Caio Fois
Eliseo De Chiara
Giona Restivo
Procopio Oggiano
Alviero Santoni
Aniceto Vassallo
Manfredo Pedone
Ildebrando Colonna
Ulderico Ammoscato
Accursio Ruggiero
Valfredo Bressan
Ampelio Pagliuca
Aureliano Beltrami
Valerio Brizzi
Arminio Indelicato
Leopoldo Ranucci
Innocenzo Affinito
Bacco Improta
Solocone Salamone
Quinzio Iannello
Beronico Crimi
Pomponio Parise
Gerolamo Mauro
Gianpietro Schillaci
Leone Capuano
Basilio Teresi
Verulo Cannone
Monitore Spizzirri
Lazzaro Polverino
Temistocle Trevisan
Venceslao Tacconi
Macario Perrotta
Giusto Taddei
Costanzo Zanotti
Tiberio Monni
Fiorenzo Fusaro
Saturniano Giugliano
Argimiro Biagi
Salustio Mauri
Donatello Restivo
Niceforo Pitzalis
Publio Falzone
Garimberto Montalbano
Laurentino Martines
Aldobrando Borelli
Ponziano Scherini
Telchide Frezza
Boris Epifani
Mattia Castaldi
Pauside De Rosa
Archippo De Bonis
Barsaba Viale
Ecclesio Calì
Elvino Mengoni
Zena Potenza
Colmanno Di Domenico
Romoaldo Scaglione
Enrico Catanzaro
Nicezio Grilli
Alcide Croce
Edoardo Cecchini
Ermilo D'Incà
Ecclesio Campoli
Lapo Tarquini
Postumio Ciulla
Antino Parrinello
Pauside Marchetti
Baldo Mazzanti
Sebastiano Bergamasco
Vittorio Accardo
Damocle Barbieri
Eraldo Castellana
Almiro Marangoni
Vittore Pasquini
Zaccaria Rota
Durante Guerriero
Lorenzo Barbieri
Evaristo Capocotta
Duccio Anzalone
Vito Mazzeo
Pio Fiorillo
Marolo Pisciotta
Andrea Pini
Birino Geraci
Simone Mirabella
Taide Iezzi
Zenone Staffieri
Prassede Sardina
Abramo Pignatelli
Rufino Battisti
Apollinare Fasoli
Ischirione Spadoni
Cristaldo Lo Iacono
Egeo Borgia
Amintore Cola
Quarto De Stefano
Venustiano Mazzoni
Namazio Randazzo
Ermanno Valenza
Giuliano Tomassoni
Aleandro Musumeci
Magno Guglielmi
Proteo Caccamo
Albrico Di Salvo
Tristano Parodi
Reginaldo Sartori
Evaristo D'Onofrio
Eligio Salemi
Maiorico Santini
Caino Savoca
Giustiniano Di Mauro
Ortensio Cataldo
Azeglio Liguori
Danio Pugliesi
Agabio Inzerillo
Basileo Murolo
Agesilao Iaria
Monitore Iacono
Grimaldo Paganelli
Orfeo Calabrò
Abdone Capizzi
Servidio Lugli
Torquato Paoli
Egeo Simeoni
Abbondanzio Esposito
Reginaldo Cantoni
Cristoforo Guida
Domiziano Mauro
Arrigo Sodano
Adelardo Masi
Alberico Tedeschi
Amedeo Quaranta
Gianluca Gurrieri
Aiace Nanni
Gentile Barbiero
Tarcisio La Porta
Ivo Oliveri
Giuseppe Scopece
Callisto Lanza
Gioventino Boffa
Basileo Piccinini
Beato Perra
Benvenuto Meloni
Agamennone Marelli
Cosma Corrao
Fleano Dolci
Umberto Marrone
Landolfo Pecora
Barnaba Doronzo
Climaco Pascale
Genesio Marchesi
Tammaro Carloni
Vulmaro Spadafora
Bertoldo Puleo
Pupolo Bini
Osvaldo Albano
Gioventino Ferrarini
Gomberto Torresi
Emanuele Boscolo
Geremia Salatiello
Calanico Di Liberto
Laurentino Celi
Peleo Lotti
Cassiano Daidone
Oreste Passeri
Evasio De Carolis
Evaristo Corazza
Raniero Mosti
Durante Scarano
Geremia Poli
Generoso Tagliaferri
Pio Perrone
Rodiano Dell'Amico
Polifemo Schiavi
Iginio Zaccaria
Gedeone Piscitelli
Arrigo Allegretti
Desiderato De Lorenzo
Alfredo Pisu
Filomeno Zucca
Elvezio Giorgio
Alvaro Castellani
Luciano Bennardo
Ursicio Peruzzi
Duilio Tarquini
Fazio Fanelli
Amaranto Conti
Valter Guerra
Niniano Serafini
Vito Iaria
Sabele Artioli
Severino Mura
Mauro Tofani
Carponio Nocera
Tolomeo Simeti
Sinfronio Pacini
Aris Boschi
Calanico Argenio
Alessio Zaccaro
Zenobio Giusti
Raffaele Palazzo
Gedeone Zordan
Rinaldo Aramini
Diodoro Ercoli
Vedasto Milani
Nicolò Cannella
Amando Cantoni
Benito D'Ambrosio
Clarenzio Pesce
Dario Massa
Crocefisso Ferranti
Colombano Apicella
Adrione Petralia
Orenzio Marelli
Pantaleone Canepa
Felice Ratti
Zenone Cecchini
Venusto Pascale
Liberatore Saponaro
Paterniano Mosti
Guido Fusaro
Bardo Pompilio
Oderico Lipari
Adelardo Santarelli
Fidenziano Basile
Ermanno Testa
Attilio Lucarelli
Salomone Melillo
Gennaro Riparbelli
Sidonio Candido
Ezio Di Grezia
Crescenzio Licitra
Gallicano Spataro
Ludano Novelli
Plutarco Nicolò
Gonzaga Gemma
Calanico Pagliuca
Sidonio Benatti
Ventura Nappi
Basilio Coretti
Adrione Litterio
Crespignano Dalmasso
Fiorenziano Francese
Euseo Grilli
Fidenzio Oliveri
Servidio Evangelista
Malco Semeraro
Dacio Pesaresi
Sigfrido Galasso
Sante De Falco
Egidio Calandro
Elogio Venezia
Geronzio De Rossi
Clarenzio Marini
Michelangelo Murtas
Teogene Mercuri
Emmerico Cassano
Loreno Renzi
Sapiente Spadaro
Eufemio Affinito
Querano Santo
Evandro Maggio
Ernesto Valentino
Ursicio Carella
Aldo Santori
Natale Manca
Elvezio Cataldo
Eufemio Natali
Bonavita Privitera
Bibiano Mazzoleno
Ivone Licata
Raimondo Cioffi
Minervino Masciandaro
Metrofane Malerba
Zenebio Rauso
Almerigo Baldacci
Radolfo Daniele
Clinio Ruggeri
Prassede Medici
Porfirio De Napoli
Uberto Campisi
Ventura Cioni
Zoilo Di Tullio
Monitore Di Benedetto
Emmerico De Cicco
Ireneo Ermini
Rocco Bonanni
Valerio Cozzi
Ildebrando Tedde
Sante Palumbo
Ruperto Salvucci
Argimiro Palermo
Giotto Piacentini
Cirillo Fratti
Lidio Viscò
Acrisio Prisco
Biagio Tortora
Dodato Sardella
Flaviano Fuoco
Eterie Giampaoli
Ariele Righetti
Gaio Carrus
Ugo Mistretta
Archippo Mazzeo
Zoilo Ciotola
Verenzio De Lorenzo
Silverio Agresta
Leopardo Ratti
Vinfrido Di Paolo
Alvaro Pugliesi
Eginardo La Sala
Bonaventura Torrisi
Walter Corsini
Ramiro Paradiso
Minervino Marotta
Ecclesio Mazzotta
Porziano Perugini
Esuperio Di Fazio
Mennone Carloni
Amilcare Manetti
Abelardo Pittalis
Salustio Di Giacomo
Cecilio Pagani
Gaudenzio Cicchetti
Ruggero Bernabei
Melanio Pozzo
Mario Pintus
Golia Masala
Aurelio D'Incà
Urdino D'Alessio
Costanzo Tedeschi
Efisio Cannella
Romolo Fanara
Delfino Di Francesco
Uguccione Prencipe
Catullo Tomaselli
Agenore Abbondanza
Donato Magliocco
Aldo Panico
Asterio Lombardo
Agabio Carlotti
Alceo Favaro
Leonzio Medugno
Arialdo Palazzolo
Gumesindo Matteucci
Tullio Carnovale
Dalmazio Cicchetti
Piergiorgio Gaudiano
Gildo Palazzi
Manetto Cenni
Costante Briano
Settimio Silvestrini
Stefano Marinucci
Guido Chirico
Orfeo Lanteri
Bonito Morandi
Fuscolo Iotti
Ultimo Toto
Zaccaria Granata
Onorio Lolli
Fermo Ventimiglia
Vidone Barone
Placido Bongiovanni
Galdino Marchesi
Gianuario Terlizzi
Ricario Lattanzi
Minervino Rocchi
Evandro Sechi
Procopio Sabino
Apollinare Catania
Antioco Perna
Ulpiano Rocchi
Arcibaldo Giovinazzo
Acrisio Del Bianco
Muziano Cesaretti
Adriano Guerra
Modesto Vizziello
Mauro Medeot
Elpidio Zappia
Letterio Curreli
Danio Simonini
Sabato Riccio
Quasimodo Piscopo
Igor Di Paola
Sigfrido Montesano
Indro Amendola
Evidio Concas
Ventura Locci
Anselmo Agnello
Oronzo Polese
Fabiano Aramini
Umile Manna
Sergio Rosati
Lazzaro Rizzi
Bastiano Tomasi
Mauro Antonacci
Renzo Cristiano
Alessandro Spanò
Aristo Ferrario
Bardomiano Gianni
Geminiano Mazzoni
Gianni Ierardi
Asimodeo Petito
Lucio Rondinone
Alvise Longo
Vito Adami
Dino De Bona
Dacio Mulè
Anselmo Carrozzo
Bruto De Stefano
Audace Perin
Valentino De Marco
Elvino Nicotra
Fiorenzo Bonomi
Democrito Tortorici
Danilo Barile
Bastiano Rotundo
Ambrosiano Barsotti
Prisco Perna
Loreno Marelli
Amelio Ammoscato
Laurentino Ferluga
Almerigo Cardinali
Adalberto Santoni
Alceo Coslovich
Eutalio Giorgetti
Valerico Marchesi
Esuperio Santarsiero
Ursino Crispino
Giacomo Bucci
Fabio Pala
Niniano Marinelli
Aldo Drago
Amone Kofler
Erasmo Mazzoleno
Desiderio Sacchetti
Crescente Bernasconi
Graciliano Ducci
Alamanno Aiello
Efrem Saia
Eusebio Sinopoli
Umberto Murolo
Urdino Grande
Duilio Viti
Elogio Migliore
Stanislao D'Ippolito
Stiriaco Santarossa
Sinfronio Trombetta
Evaristo Dolci
Vasco Careddu
Gionata Mattei
Vincenzo Colombo
Girardo Beltrame
Ignazio Sabatini
Ulrico Venturelli
Volfango Genna
Vinfrido Barbarulo
Oliviero Messana
Milo Di Maria
Valtena Izzo
Nicea Drago
Filiberto Pasquali
Innocente Mazzini
Paolo Pinardi
Evaristo Bressan
Dagoberto Severino
Amos Di Lorenzo
Gineto Moro
Martino Cancelliere
Massimo Molinari
Nazzaro Moser
Gabriele Schirru
Barbarigo Urso
Rutilo Palladino
Soccorso Guidetti
Salvo De Biase
Domezio Marchetti
Raide Di Iorio
Felice Cortese
Simeone Mingarelli
Sisto Pucci
Eugenio Sartori
Ulfo Bonifazi
Abenzio Siino
Libero Calabrese
Iago Maniscalco
Fosco Garau
Giosuè Angeli
Evandro Carollo
Tibaldo Gioia
Archippo Cipolletta
Liberto Mazzotta
Domenico De Giorgi
Bonaldo Vita
Sigismondo Accurso
Egisto Tirelli
Elvino Di Maio
Vladimiro Tosi
Beronico D'Urso
Fidenzio Mautone
Bruto Damico
Lidio Furno
Lodovico Oggiano
Isaia Calì
Vespasiano Labate
Panfilo Mengoni
Salomone Zambon
Pancrazio Cremonesi
Coriolano Mazzarella
Pomponio Quarta
Lancilotto Orsini
Geminiano Aramini
Melchiorre Turco
Cantidio Riccio
Eliodoro Cabras
Aleandro Fabbri
Cuniberto Cremona
Siro Di Palma
Antelmo Di Luca
Protasio Pollina
Sabato Gioacchini
Nazzaro Biagetti
Ottavio Belmonte
Tobia Mulè
Volfango Venezia
Mauro Perego
Ludano Perugini
Alvaro De Vito
Bibiano Siracusa
Eutalio Manzi
Basileo D'Aleo
Fedele Coretti
Zenaide De Sanctis
Aldo Nocentini
Emilio Mastronardi
Polidoro Giannini
Cosma Righetti
Arrigo Balzano
Giobbe Marcovecchio
Magno Fabris
Adriano Giustra
Onorio Bresciani
Daniele Falcioni
Pusicio Amato
Innocenzo Barberis
Barnaba Lecca
Ermete Pesaresi
Ivo Formica
Giustiniano Rosati
Acilio Carvelli
Alfio Venturini
Orso Dattilo
Benedetto Bianco
Oddone Bassi
Alcino Ortolani
Fedele Baldini
Barbarigo Gangemi
Daniele Musumeci
Abele Procopio
Ermenegildo Fiorini
Ermenegildo Zappacosta
Ivano Schillaci
Ido Gianni
Innocenzo Mastroianni
Cipriano Mazzone
Candido Barillà
Adalberto Pozzo
Onesto Cavalli
Demetrio Ostuni
Siriano Salemme
Gualtiero Ballarin
Leopoldo Salvatori
Pusicio Zanelli
Porfirio Carbone
Crescente Correale
Siricio Cruciata
Almiro Pizzimenti
Ugo Chessari
Mariano Addis
Casimiro Angeletti
Benvenuto Lovato
Maurilio Cavallari
Pasquale Cannata
Festo Grasso
Otello Deiana
Francesco Pizzitola
Amilcare Borghi
Aniceto Venezia
Galileo Spada
Romualdo Lorenzini
Bastiano Rinaldi
Innocente Perin
Ignazio Coniglio
Timoteo Sforza
Giuda Crespi
Albano Ottonello
Varo Giovannini
Averardo Martini
Arnaldo Di Marzio
Vodingo D'Incà
Sandro Bresciani
Peleo Feliziani
Ulpiano Pillitteri
Aimone Damiano
Aristofane Carbone
Protasio Costantino
Esaù Bergamini
Samuele Barra
Guiscardo Mazzini
Attilio Ammoscato
Baldovino Campanini
Socrate Tiozzo
Elita Zanotti
Crescenzio Baldo
Folco Pavan
Fausto Crisafulli
Alessio Totaro
Climaco Mori
Peleo Serafini
Ireneo Cingolani
Cristoforo Giugliano
Nazzaro Sparacino
Aristo Forlani
Misaele Fabbro
Eginardo Cenni
Folco Del Bianco
Abelardo Di Carlo
Efrem Pellicano
Venceslao Eligibile
Geremia Cozzani
Marino Monaci
Golia Narciso
Crocefisso Cortese
Andrea Viale
Enzo Marinucci
Zetico Procopio
Gabino Accardo
Abdone Spadafora
Agesilao Re
Ruggero Morello
Ascanio Beltrami
Eugenio Perrini
Bonito Marconi
Protasio Morandi
Athos Perrotta
Accursio Cipriano
Igino Costantino
Ildebrando Giunta
Gualtiero Milan
Nicolò Capponi
Gualtiero Volpe
Ataleo Leoncini
Sapiente Errante
Genziano Babini
Matteo Prato
Giulio Zollo
Carlo Scalise
Argimiro Pichler
Dacio Volpe
Samuele Belotti
Liborio Signorile
Fabiano Foti
Aristarco Salatiello
Mercurio Massari
Gerolamo Greco
Walter Di Pede
Metello Cardinale
Modesto Cammarata
Modesto Vicini
Terenzio Bosco
Abenzio Di Paolo
Daniele De Simone
Ermes Cavaliere
Benigno De Cicco
Aris Angelini
Enea Errante
Agesilao De Giorgio
Olimpio Falcone
Uranio Sottile
Auro Casagrande
Rubiano Palazzi
Liberato Zaccaro
Libero Evangelista
Damiano Di Ciocco
Landolfo Polese
Azeglio Suriano
Berardo Bennardo
Verulo Mereu
Fiorenzo Vella
Quinzio Mazzola
Ruperto Costanza
Lanfranco Fonti
Mauro Privitera
Pauside Bonato
Virginio Morabito
Dionigi Lai
Soccorso Scalia
Eustorgio Salvatori
Bardo Feleppa
Goffredo Foschi
Ticone Pompilio
Sabato Berto
Alamanno Politi
